hostname,count,time,rssi
ohashi02,0,2022-07-30 18:18:21,-68
ohashi02,3,2022-07-30 18:18:24,-69
ohashi02,9,2022-07-30 18:18:30,-67
ohashi02,9,2022-07-30 18:18:30,-72
ohashi02,15,2022-07-30 18:18:36,-72
ohashi02,15,2022-07-30 18:18:36,-67
ohashi02,18,2022-07-30 18:18:39,-68
ohashi02,21,2022-07-30 18:18:42,-72
ohashi02,24,2022-07-30 18:18:45,-74
ohashi02,27,2022-07-30 18:18:48,-73
ohashi02,30,2022-07-30 18:18:51,-67
ohashi02,33,2022-07-30 18:18:54,-68
ohashi02,36,2022-07-30 18:18:57,-68
ohashi02,345,2022-07-30 18:24:06,-53
ohashi02,348,2022-07-30 18:24:09,-53
ohashi02,351,2022-07-30 18:24:12,-56
ohashi02,354,2022-07-30 18:24:15,-56
ohashi02,357,2022-07-30 18:24:18,-58
ohashi02,363,2022-07-30 18:24:24,-68
ohashi02,366,2022-07-30 18:24:27,-56
ohashi02,369,2022-07-30 18:24:30,-56
ohashi02,372,2022-07-30 18:24:33,-58
ohashi02,375,2022-07-30 18:24:36,-53
ohashi02,378,2022-07-30 18:24:39,-53
ohashi02,381,2022-07-30 18:24:42,-56
ohashi02,384,2022-07-30 18:24:45,-56
ohashi02,387,2022-07-30 18:24:48,-58
ohashi02,396,2022-07-30 18:24:57,-53
ohashi02,399,2022-07-30 18:25:00,-53
ohashi02,402,2022-07-30 18:25:03,-57
ohashi02,405,2022-07-30 18:25:06,-57
ohashi02,408,2022-07-30 18:25:09,-57
ohashi02,411,2022-07-30 18:25:12,-52
ohashi02,420,2022-07-30 18:25:21,-56
ohashi02,423,2022-07-30 18:25:24,-57
ohashi02,426,2022-07-30 18:25:27,-59
ohashi02,453,2022-07-30 18:25:54,-60
ohashi02,459,2022-07-30 18:26:00,-59
ohashi02,465,2022-07-30 18:26:06,-57
ohashi02,468,2022-07-30 18:26:09,-59
ohashi02,477,2022-07-30 18:26:18,-70
ohashi02,480,2022-07-30 18:26:21,-62
ohashi02,483,2022-07-30 18:26:24,-71
ohashi02,486,2022-07-30 18:26:27,-57
ohashi02,489,2022-07-30 18:26:30,-54
ohashi02,498,2022-07-30 18:26:39,-56
ohashi02,504,2022-07-30 18:26:45,-57
ohashi02,507,2022-07-30 18:26:48,-55
ohashi02,510,2022-07-30 18:26:51,-58
ohashi02,519,2022-07-30 18:27:00,-56
ohashi02,531,2022-07-30 18:27:12,-63
ohashi02,540,2022-07-30 18:27:21,-52
ohashi02,543,2022-07-30 18:27:24,-68
ohashi02,546,2022-07-30 18:27:27,-51
ohashi02,549,2022-07-30 18:27:30,-57
ohashi02,552,2022-07-30 18:27:33,-57
ohashi02,567,2022-07-30 18:27:48,-57
ohashi02,570,2022-07-30 18:27:51,-50
ohashi02,576,2022-07-30 18:27:57,-57
ohashi02,582,2022-07-30 18:28:03,-56
ohashi02,588,2022-07-30 18:28:09,-50
ohashi02,591,2022-07-30 18:28:12,-56
ohashi02,600,2022-07-30 18:28:21,-51
ohashi02,603,2022-07-30 18:28:24,-57
ohashi02,615,2022-07-30 18:28:36,-56
ohashi02,618,2022-07-30 18:28:39,-57
ohashi02,621,2022-07-30 18:28:42,-55
ohashi02,630,2022-07-30 18:28:51,-50
ohashi02,633,2022-07-30 18:28:54,-55
ohashi02,636,2022-07-30 18:28:57,-55
ohashi02,642,2022-07-30 18:29:03,-56
ohashi02,645,2022-07-30 18:29:06,-71
ohashi02,660,2022-07-30 18:29:21,-60
ohashi02,663,2022-07-30 18:29:24,-66
ohashi02,666,2022-07-30 18:29:27,-55
ohashi02,675,2022-07-30 18:29:36,-61
ohashi02,678,2022-07-30 18:29:39,-57
ohashi02,687,2022-07-30 18:29:48,-51
ohashi02,690,2022-07-30 18:29:51,-57
ohashi02,693,2022-07-30 18:29:54,-58
ohashi02,696,2022-07-30 18:29:57,-54
ohashi02,699,2022-07-30 18:30:00,-52
ohashi02,702,2022-07-30 18:30:03,-53
ohashi02,717,2022-07-30 18:30:18,-56
ohashi02,720,2022-07-30 18:30:21,-56
ohashi02,723,2022-07-30 18:30:24,-51
ohashi02,726,2022-07-30 18:30:27,-55
ohashi02,729,2022-07-30 18:30:30,-55
ohashi02,735,2022-07-30 18:30:36,-57
ohashi02,738,2022-07-30 18:30:39,-56
ohashi02,753,2022-07-30 18:30:54,-56
ohashi02,756,2022-07-30 18:30:57,-51
ohashi02,759,2022-07-30 18:31:00,-55
ohashi02,762,2022-07-30 18:31:03,-56
ohashi02,780,2022-07-30 18:31:21,-55
ohashi02,783,2022-07-30 18:31:24,-71
ohashi02,786,2022-07-30 18:31:27,-55
ohashi02,792,2022-07-30 18:31:33,-56
ohashi02,801,2022-07-30 18:31:42,-56
ohashi02,804,2022-07-30 18:31:45,-51
ohashi02,807,2022-07-30 18:31:48,-54
ohashi02,813,2022-07-30 18:31:54,-56
ohashi02,816,2022-07-30 18:31:57,-51
ohashi02,819,2022-07-30 18:32:00,-50
ohashi02,840,2022-07-30 18:32:21,-54
ohashi02,843,2022-07-30 18:32:24,-55
ohashi02,846,2022-07-30 18:32:27,-57
ohashi02,849,2022-07-30 18:32:30,-57
ohashi02,852,2022-07-30 18:32:33,-55
ohashi02,855,2022-07-30 18:32:36,-55
ohashi02,858,2022-07-30 18:32:39,-55
ohashi02,879,2022-07-30 18:33:00,-56
ohashi02,888,2022-07-30 18:33:09,-51
ohashi02,891,2022-07-30 18:33:12,-54
ohashi02,894,2022-07-30 18:33:15,-55
ohashi02,897,2022-07-30 18:33:18,-55
ohashi02,900,2022-07-30 18:33:21,-56
ohashi02,903,2022-07-30 18:33:24,-56
ohashi02,906,2022-07-30 18:33:27,-51
ohashi02,921,2022-07-30 18:33:42,-51
ohashi02,924,2022-07-30 18:33:45,-51
ohashi02,930,2022-07-30 18:33:51,-55
ohashi02,933,2022-07-30 18:33:54,-54
ohashi02,939,2022-07-30 18:34:00,-58
ohashi02,957,2022-07-30 18:34:18,-54
ohashi02,960,2022-07-30 18:34:21,-52
ohashi02,963,2022-07-30 18:34:24,-68
ohashi02,966,2022-07-30 18:34:27,-57
ohashi02,969,2022-07-30 18:34:30,-52
ohashi02,972,2022-07-30 18:34:33,-52
ohashi02,975,2022-07-30 18:34:36,-52
ohashi02,978,2022-07-30 18:34:39,-58
ohashi02,987,2022-07-30 18:34:48,-55
ohashi02,990,2022-07-30 18:34:51,-50
ohashi02,993,2022-07-30 18:34:54,-51
