hostname,count,time,rssi
ohashi02,0,2022-07-30 15:10:51,-68
ohashi02,6,2022-07-30 15:10:57,-77
ohashi02,9,2022-07-30 15:11:00,-75
ohashi02,12,2022-07-30 15:11:03,-80
ohashi02,18,2022-07-30 15:11:09,-79
ohashi02,21,2022-07-30 15:11:12,-79
ohashi02,27,2022-07-30 15:11:18,-59
ohashi02,30,2022-07-30 15:11:21,-33
ohashi02,33,2022-07-30 15:11:24,-34
ohashi02,36,2022-07-30 15:11:27,-35
ohashi02,42,2022-07-30 15:11:33,-33
ohashi02,45,2022-07-30 15:11:36,-33
ohashi02,48,2022-07-30 15:11:39,-33
ohashi02,51,2022-07-30 15:11:42,-34
ohashi02,54,2022-07-30 15:11:45,-29
ohashi02,57,2022-07-30 15:11:48,-34
ohashi02,60,2022-07-30 15:11:51,-35
ohashi02,66,2022-07-30 15:11:57,-33
ohashi02,69,2022-07-30 15:12:00,-33
ohashi02,72,2022-07-30 15:12:03,-34
ohashi02,78,2022-07-30 15:12:09,-33
ohashi02,81,2022-07-30 15:12:12,-33
ohashi02,84,2022-07-30 15:12:15,-36
ohashi02,87,2022-07-30 15:12:18,-51
